TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,6.057,0.0,161.094,75.38,0.0,264.397,0.0,1.825,0.0,100.079,0.0,0.728,0.0,1.899,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.9582,0.0,-9999,-9999,78.5506,0.0,-9999,-9999,-1.73506,0.0,-9999,-1.88679,-1.774,-1.52109,0.0,0.0,0.0,2.37071,2.35851,2.52851,2.61474,4.10576,3.97852,4.21659,4.4019,0.531998,0.524929,1.02847,2.86439,2.1672,2.16657,2.16874,2.58717,-9999,-9999
200002,8.066,0.0,224.703,118.728,0.0,270.686,0.0,2.696,0.0,100.132,0.0,0.771,0.0,1.893,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,52.0108,0.0,-9999,-9999,78.4911,0.0,-9999,-9999,-1.73608,0.0,-9999,-1.88508,-1.77423,-1.51399,0.0,0.0,0.0,2.61561,2.60331,2.82572,2.91362,4.35169,4.30314,4.52245,4.64965,0.709023,0.699601,1.30373,2.96775,2.89469,2.89201,2.89942,3.37177,-9999,-9999
200003,10.745,0.0,313.01,162.334,0.0,289.288,0.0,3.111,0.0,99.822,0.0,2.711,0.0,2.417,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.9582,0.0,-9999,-9999,78.5506,0.0,-9999,-9999,-1.73506,0.0,-9999,-1.88679,-1.774,-1.52109,0.0,0.0,0.0,2.94759,2.93528,3.15877,3.33714,4.68265,4.68237,4.9194,5.00455,0.986314,0.973208,1.54664,3.10173,3.5148,3.50985,3.52241,4.038,-9999,-9999
200004,14.817,0.00625,399.212,208.593,0.00694444,312.519,0.0,4.653,0.00625,99.025,0.0,3.125,0.0,2.528,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.9759,0.0,-9999,-9999,78.5057,0.0,-9999,-9999,-1.73747,0.0,-9999,-1.89596,-1.77434,-1.51373,0.0,0.0,0.0,3.46706,3.46041,3.66825,4.10555,5.20453,5.20453,5.5201,5.56314,1.58584,1.56477,1.97488,3.28904,4.12145,4.11423,4.13191,4.68981,-9999,-9999
200005,18.635,0.997312,460.754,243.317,0.990591,327.497,0.0,5.892,0.997312,99.568,0.643817,0.516,1.0,1.881,0.221102,-9999,-9999,-9999,-9999,447.169586239,0.993279569892,-9999,-9999,-9999,-9999,-9999,-9999,19.939,-9999,-9999,1.0,-9999,-9999,31.632,-9999,1.0,-9999,-9999,1.0,53.4273,0.584005,-9999,0.736778,80.4974,0.580645,-9999,1.10114,-1.41713,0.535618,0.08333,-1.74179,-1.41713,-1.17463,0.47043,0.535618,0.534946,3.98175,3.95261,4.149,4.66417,5.40057,5.39901,5.76657,5.85021,2.58832,2.53614,2.58832,3.67305,4.83483,4.74435,4.86088,5.18255,-9999,-9999
200006,21.838,0.997917,486.477,279.243,1.0,334.848,0.0,10.05,0.997917,99.775,0.29375,0.333,1.0,2.129,0.871528,0.386479535105,0.728472222222,-9999,-9999,536.910274823,0.996527777778,-9999,-9999,-9999,-9999,382.527,0.994444,23.681,-9999,-9999,1.0,-9999,-9999,22.898,-9999,1.0,-9999,-9999,1.0,58.1304,0.99375,-9999,0.659981,81.6883,0.992361,-9999,0.858811,-1.30552,0.93125,0.0398716,-1.33468,-1.30159,-1.26561,0.928472,0.930556,0.942361,4.33092,4.26553,4.34059,4.42363,5.63664,5.5732,5.64833,5.70944,3.92169,3.79518,3.92134,4.00149,5.9105,5.47813,5.6626,5.75289,-9999,-9999
200007,22.938,0.99664,471.897,281.072,1.0,336.147,0.0,12.372,0.99664,99.272,0.711694,0.419,1.0,2.543,0.873656,0.451802526768,0.756048387097,-9999,-9999,549.578505872,0.993951612903,-9999,-9999,-9999,-9999,371.269,0.99664,24.934,-9999,-9999,1.0,-9999,-9999,24.685,-9999,1.0,-9999,-9999,1.0,50.0068,0.99664,-9999,0.575122,87.2848,0.995296,-9999,0.943809,-1.12179,0.90457,0.0418537,-1.27964,-1.13824,-1.0951,0.952957,0.90793,0.90457,3.71887,3.49158,3.70348,3.82239,4.86096,4.78021,4.82968,4.92967,3.08853,3.08853,3.2222,3.45638,4.88371,4.56537,4.66639,4.79339,-9999,-9999
200008,25.278,1.0,419.764,247.392,1.0,346.809,0.0,16.246,1.0,99.61,0.769489,0.613,1.0,2.151,0.960349,0.368476109621,0.797715053763,-9999,-9999,477.517450302,0.994623655914,-9999,-9999,-9999,-9999,372.408,0.999328,26.581,-9999,-9999,1.0,-9999,-9999,23.333,-9999,1.0,-9999,-9999,1.0,38.8498,0.99664,-9999,0.49243,76.2252,0.998656,-9999,0.872805,0.00145267,0.843414,0.0292315,-0.0210579,0.00660071,0.192457,0.864247,0.856855,0.821909,2.60683,2.67034,2.69989,2.83741,2.60631,2.60631,2.69001,2.78295,3.07469,2.90319,3.01872,3.1182,3.23391,3.18204,3.285,3.35118,-9999,-9999
200009,20.985,1.0,341.6,189.198,1.0,325.202,0.0,9.136,1.0,99.429,0.977083,0.933,1.0,2.447,0.94375,0.458128993635,0.815277777778,-9999,-9999,369.719090477,0.99375,-9999,-9999,-9999,-9999,373.524,0.998611,20.787,-9999,-9999,1.0,-9999,-9999,23.621,-9999,1.0,-9999,-9999,1.0,30.2946,0.998611,-9999,0.408718,53.8091,0.996528,-9999,0.855994,0.540661,0.980556,0.0320304,0.438976,0.540661,0.612567,0.984028,0.980556,0.972917,3.42625,3.34708,3.42504,3.4903,2.87525,2.84188,2.86976,2.88728,4.26442,3.43038,4.04882,4.18041,3.39795,3.2164,3.39823,3.46713,-9999,-9999
200010,17.362,1.0,252.878,95.423,0.986559,321.538,0.0,4.02,1.0,99.627,0.997312,4.258,1.0,2.088,0.851478,0.346705472289,0.741935483871,-9999,-9999,188.577418735,0.967069892473,-9999,-9999,-9999,-9999,382.668,0.995968,15.813,-9999,-9999,1.0,-9999,-9999,37.376,-9999,1.0,-9999,-9999,1.0,23.3773,0.992608,-9999,0.391049,12.7733,0.994624,-9999,0.616828,2.01703,0.947581,0.0420919,2.00014,2.03118,2.05885,0.986559,0.983199,0.973118,4.88362,4.82597,4.86035,5.03935,2.83235,2.7756,2.84062,2.95148,4.53329,4.18419,4.61225,4.76989,2.80536,2.60551,2.80645,2.84472,-9999,-9999
200011,13.842,1.0,178.145,53.581,1.0,299.014,0.0,2.728,1.0,99.413,0.999306,5.6,1.0,2.628,0.945139,0.461212107966,0.867361111111,-9999,-9999,103.728541667,1.0,-9999,-9999,-9999,-9999,376.175,1.0,12.002,-9999,-9999,1.0,-9999,-9999,43.77,-9999,1.0,-9999,-9999,1.0,15.5587,1.0,-9999,0.318141,-4.54665,1.0,-9999,0.574085,1.37809,0.995833,0.0350462,1.34239,1.36913,1.40586,0.999306,0.995833,0.957639,3.71569,3.68733,3.72913,3.84962,2.33967,2.34229,2.36179,2.40379,3.57644,3.36423,3.48738,3.66389,2.28829,2.18508,2.25978,2.35275,-9999,-9999
200012,11.6,1.0,143.587,40.86,1.0,293.53,0.0,1.955,1.0,99.562,1.0,1.935,1.0,2.431,0.992608,0.344895541692,0.872311827957,-9999,-9999,79.3419354839,1.0,-9999,-9999,-9999,-9999,382.324,1.0,8.364,-9999,-9999,1.0,-9999,-9999,42.217,-9999,1.0,-9999,-9999,1.0,7.47425,1.0,-9999,0.211005,-1.96998,0.999328,-9999,0.456175,1.52869,0.973118,0.023112,1.52728,1.53512,1.6225,0.973118,0.984543,0.818548,2.59522,2.5857,2.65938,2.92242,1.06795,1.07303,1.12466,1.26875,1.60528,1.55085,1.65127,1.88645,0.858663,0.726382,0.739466,0.834826,-9999,-9999
200101,10.648,0.972446,161.094,52.629,0.000672043,298.788,0.0,1.868,0.667339,99.752,1.0,2.935,0.0,3.334,0.963038,0.438060916123,0.871639784946,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,381.151,0.916667,7.623,-9999,-9999,1.0,-9999,-9999,41.37,-9999,0.668683,-9999,-9999,1.0,7.43101,0.906586,-9999,0.256803,3.10046,0.96707,-9999,0.696242,1.01724,0.516801,0.0269846,0.997884,1.01184,1.01969,0.550403,0.656586,0.49664,2.11263,2.06857,2.11149,2.13472,1.098,1.07181,1.09733,1.1078,3.54388,3.43566,3.46117,3.54154,2.00405,1.99121,2.00449,2.01695,-9999,-9999
200102,10.097,1.0,223.292,110.36,0.0,278.035,0.0,3.237,0.939732,99.861,1.0,2.107,0.0,3.17,0.858631,0.433472441812,0.737351190476,41.4195980342,0.697172619048,-9999,-9999,-9999,-9999,-9999,-9999,379.598,0.866071,7.364,-9999,-9999,1.0,-9999,-9999,39.522,-9999,0.939732,-9999,-9999,1.0,12.8931,0.866071,-9999,-9999,22.2006,0.862351,-9999,-9999,0.480151,0.444196,-9999,0.480151,0.487886,0.493471,0.444196,0.667411,0.40997,2.06666,2.02418,2.06271,2.07168,1.58451,1.53595,1.5744,1.58419,3.51067,3.40347,3.42874,3.50835,3.40809,3.38815,3.40729,3.4171,-9999,-9999
200103,14.344,1.0,309.983,156.938,0.0,307.683,0.0,3.346,1.0,99.047,0.891801,2.383,0.0,3.165,0.988575,0.450238699243,0.881048387097,72.1770134244,0.993279569892,-9999,-9999,-9999,-9999,-9999,-9999,378.269,0.956989,12.0,-9999,-9999,1.0,-9999,-9999,38.916,-9999,1.0,-9999,-9999,1.0,22.1322,0.950269,-9999,1.23838,31.6104,0.991263,-9999,3.22251,0.777896,0.538306,0.158188,0.774145,0.789382,0.798331,0.544355,0.574597,0.497312,3.54368,3.52345,3.52937,3.54738,2.74984,2.73343,2.74778,2.75599,3.74112,3.62688,3.65381,3.73865,4.33803,4.31459,4.33777,4.34378,-9999,-9999
